D:\Machine_Learning\Projects\Self_driving_car\data\IMG\center_2019_08_17_18_50_11_656.jpg,D:\Machine_Learning\Projects\Self_driving_car\data\IMG\left_2019_08_17_18_50_11_656.jpg,D:\Machine_Learning\Projects\Self_driving_car\data\IMG\right_2019_08_17_18_50_11_656.jpg,0,0,0,25.47706
D:\Machine_Learning\Projects\Self_driving_car\data\IMG\center_2019_08_17_18_50_11_723.jpg,D:\Machine_Learning\Projects\Self_driving_car\data\IMG\left_2019_08_17_18_50_11_723.jpg,D:\Machine_Learning\Projects\Self_driving_car\data\IMG\right_2019_08_17_18_50_11_723.jpg,0,0,0,25.27221
D:\Machine_Learning\Projects\Self_driving_car\data\IMG\center_2019_08_17_18_50_11_799.jpg,D:\Machine_Learning\Projects\Self_driving_car\data\IMG\left_2019_08_17_18_50_11_799.jpg,D:\Machine_Learning\Projects\Self_driving_car\data\IMG\right_2019_08_17_18_50_11_799.jpg,0,0,0,25.11965
D:\Machine_Learning\Projects\Self_driving_car\data\IMG\center_2019_08_17_18_50_11_868.jpg,D:\Machine_Learning\Projects\Self_driving_car\data\IMG\left_2019_08_17_18_50_11_868.jpg,D:\Machine_Learning\Projects\Self_driving_car\data\IMG\right_2019_08_17_18_50_11_868.jpg,0,0,0,24.91768
D:\Machine_Learning\Projects\Self_driving_car\data\IMG\center_2019_08_17_18_50_11_936.jpg,D:\Machine_Learning\Projects\Self_driving_car\data\IMG\left_2019_08_17_18_50_11_936.jpg,D:\Machine_Learning\Projects\Self_driving_car\data\IMG\right_2019_08_17_18_50_11_936.jpg,0,0,0,24.76726
D:\Machine_Learning\Projects\Self_driving_car\data\IMG\center_2019_08_17_18_50_12_007.jpg,D:\Machine_Learning\Projects\Self_driving_car\data\IMG\left_2019_08_17_18_50_12_007.jpg,D:\Machine_Learning\Projects\Self_driving_car\data\IMG\right_2019_08_17_18_50_12_007.jpg,0,0,0,24.56812
D:\Machine_Learning\Projects\Self_driving_car\data\IMG\center_2019_08_17_18_50_12_076.jpg,D:\Machine_Learning\Projects\Self_driving_car\data\IMG\left_2019_08_17_18_50_12_076.jpg,D:\Machine_Learning\Projects\Self_driving_car\data\IMG\right_2019_08_17_18_50_12_076.jpg,-0.1,0,0,24.41676
D:\Machine_Learning\Projects\Self_driving_car\data\IMG\center_2019_08_17_18_50_12_147.jpg,D:\Machine_Learning\Projects\Self_driving_car\data\IMG\left_2019_08_17_18_50_12_147.jpg,D:\Machine_Learning\Projects\Self_driving_car\data\IMG\right_2019_08_17_18_50_12_147.jpg,-0.3,0,0,24.17391
D:\Machine_Learning\Projects\Self_driving_car\data\IMG\center_2019_08_17_18_50_12_216.jpg,D:\Machine_Learning\Projects\Self_driving_car\data\IMG\left_2019_08_17_18_50_12_216.jpg,D:\Machine_Learning\Projects\Self_driving_car\data\IMG\right_2019_08_17_18_50_12_216.jpg,-0.45,0,0,23.94565
D:\Machine_Learning\Projects\Self_driving_car\data\IMG\center_2019_08_17_18_50_12_287.jpg,D:\Machine_Learning\Projects\Self_driving_car\data\IMG\left_2019_08_17_18_50_12_287.jpg,D:\Machine_Learning\Projects\Self_driving_car\data\IMG\right_2019_08_17_18_50_12_287.jpg,0,0,0,23.65265
D:\Machine_Learning\Projects\Self_driving_car\data\IMG\center_2019_08_17_18_50_12_356.jpg,D:\Machine_Learning\Projects\Self_driving_car\data\IMG\left_2019_08_17_18_50_12_356.jpg,D:\Machine_Learning\Projects\Self_driving_car\data\IMG\right_2019_08_17_18_50_12_356.jpg,0,0,0,23.49788
D:\Machine_Learning\Projects\Self_driving_car\data\IMG\center_2019_08_17_18_50_12_425.jpg,D:\Machine_Learning\Projects\Self_driving_car\data\IMG\left_2019_08_17_18_50_12_425.jpg,D:\Machine_Learning\Projects\Self_driving_car\data\IMG\right_2019_08_17_18_50_12_425.jpg,0,0,0,23.30432
D:\Machine_Learning\Projects\Self_driving_car\data\IMG\center_2019_08_17_18_50_12_492.jpg,D:\Machine_Learning\Projects\Self_driving_car\data\IMG\left_2019_08_17_18_50_12_492.jpg,D:\Machine_Learning\Projects\Self_driving_car\data\IMG\right_2019_08_17_18_50_12_492.jpg,0,0,0,23.16219
D:\Machine_Learning\Projects\Self_driving_car\data\IMG\center_2019_08_17_18_50_12_561.jpg,D:\Machine_Learning\Projects\Self_driving_car\data\IMG\left_2019_08_17_18_50_12_561.jpg,D:\Machine_Learning\Projects\Self_driving_car\data\IMG\right_2019_08_17_18_50_12_561.jpg,0,0,0,23.0225
